year,month,rate
2015,7,5.20
2015,8,5.10
2015,9,5.00
2015,10,5.00
2015,11,5.10
2015,12,5.00
2016,1,4.80
2016,2,4.90
2016,3,5.00
2016,4,5.10
2016,5,4.80
2016,6,4.90
2016,7,4.80
2016,8,4.90
2016,9,5.00
2016,10,4.90
2016,11,4.70
2016,12,4.70
2017,1,4.70
2017,2,4.60
2017,3,4.40
2017,4,4.40
2017,5,4.40
2017,6,4.30
2017,7,4.30
2017,8,4.40
2017,9,4.30
2017,10,4.20
2017,11,4.20
2017,12,4.10
2018,1,4.00
2018,2,4.10
2018,3,4.00
2018,4,4.00
2018,5,3.80
2018,6,4.00
2018,7,3.80
2018,8,3.80
2018,9,3.70
2018,10,3.80
2018,11,3.80
2018,12,3.90
2019,1,4.00
2019,2,3.80
2019,3,3.80
2019,4,3.70
2019,5,3.60
2019,6,3.60
2019,7,3.70
2019,8,3.60
2019,9,3.50
2019,10,3.60
2019,11,3.60
2019,12,3.60
2020,1,3.60
2020,2,3.50
2020,3,4.40
2020,4,14.80
2020,5,13.20
2020,6,11.00
2020,7,10.20
2020,8,8.40
2020,9,7.80
2020,10,6.90
2020,11,6.70
2020,12,6.70
2021,1,6.40
2021,2,6.20
2021,3,6.10
2021,4,6.10
2021,5,5.80
2021,6,5.90
2021,7,5.40
2021,8,5.10
2021,9,4.70
2021,10,4.50
2021,11,4.10
2021,12,3.90
2022,1,4.00
2022,2,3.90
2022,3,3.70
2022,4,3.70
2022,5,3.60
2022,6,3.60
2022,7,3.50
2022,8,3.60
2022,9,3.50
2022,10,3.60
2022,11,3.60
2022,12,3.50
2023,1,3.50
2023,2,3.60
2023,3,3.50
2023,4,3.40
2023,5,3.60
2023,6,3.60
2023,7,3.50
2023,8,3.70
2023,9,3.70
2023,10,3.90
2023,11,3.70
2023,12,3.80
2024,1,3.70
2024,2,3.90
2024,3,3.90
2024,4,3.90
2024,5,3.90
2024,6,4.10
2024,7,4.20
2024,8,4.20
2024,9,4.10
2024,10,4.10
2024,11,4.20
2024,12,4.10
2025,1,4.00
2025,2,4.20
2025,3,4.20
2025,4,4.20
2025,5,4.30
2025,6,4.10
2025,7,4.30
2025,8,4.30
2025,9,4.40
2025,10,
2025,11,4.50
2025,12,4.40
2026,1,4.30
2026,2,4.40
2026,3,4.30
2026,4,4.30
